book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
Long Hard Ride (Rough Riders  #1)	,  Catching Fire (The Hunger Games  #2) - 78.26, Lover Eternal (Black Dagger Brotherhood  #2) - 66.47, Lover Awakened (Black Dagger Brotherhood  #3) - 65.47, Lover Unbound (Black Dagger Brotherhood  #5) - 64.69, One Foot in the Grave (Night Huntress  #2) - 50.62, The Hunger Games (The Hunger Games  #1) - 58.77, Halfway to the Grave (Night Huntress  #1) - 46.49, Lover Avenged (Black Dagger Brotherhood  #7) - 46.18, Once Burned (Night Prince  #1) - 40.44, Lover Mine (Black Dagger Brotherhood  #8) - 38.23 
Long Lost  (Myron Bolitar #9)	,  The Hunger Games (The Hunger Games  #1) - 62.93, The Girl with the Dragon Tattoo (Millennium  #1) - 46.64, The Lost Symbol (Robert Langdon  #3) - 45.65, Hold Tight - 43.05, The Help - 43.05, Caught - 42.36, The Girl Who Played with Fire (Millennium  #2) - 38.36, Water for Elephants - 38.36, Catching Fire (The Hunger Games  #2) - 37.04, The Book Thief - 33.75 
Long Walk to Freedom	,  1984 - 91.18, To Kill a Mockingbird - 85.29, The Help - 72.92, The Hunger Games (The Hunger Games  #1) - 60.00, The Alchemist - 58.89, Catching Fire (The Hunger Games  #2) - 43.75, Life of Pi - 40.18, The Girl with the Dragon Tattoo (Millennium  #1) - 30.13, The Immortal Life of Henrietta Lacks - 29.49, A Thousand Splendid Suns - 15.28 
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time	,  The Hunger Games (The Hunger Games  #1) - 72.50, The Girl with the Dragon Tattoo (Millennium  #1) - 67.84, The Immortal Life of Henrietta Lacks - 60.82, To Kill a Mockingbird - 56.17, The Help - 54.01, The Curious Incident of the Dog in the Night-Time - 45.10, The Devil in the White City: Murder - Magic - and Madness at the Fair That Changed America - 38.19, Outliers: The Story of Success - 37.33, Pride and Prejudice - 36.30, Ender's Game (Ender's Saga  #1) - 31.11 
Look Again	,  The Hunger Games (The Hunger Games  #1) - 58.08, Catching Fire (The Hunger Games  #2) - 45.72, The Help - 41.89, Sarah's Key - 45.68, The Book Thief - 36.52, The Girl with the Dragon Tattoo (Millennium  #1) - 29.93, Water for Elephants - 32.86, The Art of Racing in the Rain - 25.52, The Guernsey Literary and Potato Peel Pie Society - 21.50, A Thousand Splendid Suns - 19.40 
Look Me in the Eye: My Life with Asperger's	,  The Book Thief - 66.96, The Hunger Games (The Hunger Games  #1) - 69.12, Catching Fire (The Hunger Games  #2) - 68.24, The Help - 67.80, Twilight (Twilight  #1) - 41.84, The Girl with the Dragon Tattoo (Millennium  #1) - 39.87, The Glass Castle - 37.09, The Guernsey Literary and Potato Peel Pie Society - 38.19, Eat - Pray - Love - 38.19, Water for Elephants - 40.38 
Looking for Alaska	,  Paper Towns - 77.83, The Hunger Games (The Hunger Games  #1) - 53.00, The Book Thief - 49.42, The Perks of Being a Wallflower - 47.68, If I Stay (If I Stay  #1) - 44.28, Catching Fire (The Hunger Games  #2) - 43.16, An Abundance of Katherines - 45.77, Thirteen Reasons Why - 39.24, The Maze Runner (Maze Runner  #1) - 36.27, City of Bones (The Mortal Instruments  #1) - 35.45 
Looking for Alibrandi	,  On the Jellicoe Road - 71.57, The Hunger Games (The Hunger Games  #1) - 39.32, Anna and the French Kiss (Anna and the French Kiss  #1) - 42.09, Saving Francesca - 38.30, Finnikin of the Rock (Lumatere Chronicles  #1) - 36.70, If I Stay (If I Stay  #1) - 35.88, Catching Fire (The Hunger Games  #2) - 30.88, Looking for Alaska - 29.26, Before I Fall - 24.88, The Book Thief - 22.83 
Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever  #1)	,  A Game of Thrones (A Song of Ice and Fire  #1) - 36.11, American Gods (American Gods  #1) - 38.50, The Hunger Games (The Hunger Games  #1) - 22.65, The Name of the Wind (The Kingkiller Chronicle  #1) - 29.53, Ender's Game (Ender's Saga  #1) - 26.72, The Magicians (The Magicians #1) - 11.58, A Clash of Kings  (A Song of Ice and Fire  #2) - 11.67, Assassin's Apprentice (Farseer Trilogy  #1) - 8.71, Catching Fire (The Hunger Games  #2) - 5.69, Storm Front (The Dresden Files  #1) - 2.88 
Lord John and the Private Matter (Lord John Grey  #1)	,  Outlander (Outlander  #1) - 56.73, Dragonfly in Amber (Outlander  #2) - 51.23, The Fiery Cross (Outlander  #5) - 40.27, Voyager (Outlander  #3) - 39.85, A Breath of Snow and Ashes (Outlander  #6) - 37.26, Drums of Autumn (Outlander  #4) - 29.27, An Echo in the Bone (Outlander  #7) - 31.30, The Hunger Games (The Hunger Games  #1) - 21.20, The Help - 21.10, Twilight (Twilight  #1) - 16.05 
Lord of Chaos (Wheel of Time  #6)	,  The Shadow Rising (Wheel of Time  #4) - 74.49, A Crown of Swords (Wheel of Time  #7) - 61.93, The Dragon Reborn (Wheel of Time  #3) - 53.21, The Eye of the World (Wheel of Time  #1) - 53.45, The Fires of Heaven (Wheel of Time  #5) - 46.44, The Great Hunt (Wheel of Time  #2) - 46.30, Winter's Heart (Wheel of Time  #9) - 48.77, Crossroads of Twilight (Wheel of Time  #10) - 42.06, The Gathering Storm (Wheel of Time  #12) - 41.50, The Path of Daggers (Wheel of Time  #8) - 39.66 
Lord of Light	,  The Name of the Wind (The Kingkiller Chronicle  #1) - 78.75, The Magicians (The Magicians #1) - 67.50, The Hunger Games (The Hunger Games  #1) - 72.52, Ender's Game (Ender's Saga  #1) - 69.00, The Final Empire (Mistborn  #1) - 51.85, The Handmaid's Tale - 40.80, Old Man's War (Old Man's War  #1) - 39.93, The Hobbit - 39.06, Dune (Dune Chronicles #1) - 33.86, The Gunslinger - 29.63 
Lord of Misrule (The Morganville Vampires  #5)	,  Feast of Fools (The Morganville Vampires  #4) - 72.26, Midnight Alley (The Morganville Vampires  #3) - 71.81, Glass Houses (The Morganville Vampires  #1) - 70.76, The Dead Girls' Dance (The Morganville Vampires  #2) - 69.42, Carpe Corpus (The Morganville Vampires  #6) - 66.09, Fade Out (The Morganville Vampires  #7) - 61.56, Kiss of Death (The Morganville Vampires  #8) - 50.50, The Hunger Games (The Hunger Games  #1) - 44.37, City of Bones (The Mortal Instruments  #1) - 33.54, Catching Fire (The Hunger Games  #2) - 33.54 
Lord of Scoundrels (Scoundrels  #3)	,  The Hunger Games (The Hunger Games  #1) - 74.26, Dreaming of You (The Gamblers  #2) - 77.54, The Duke and I (Bridgertons  #1) - 71.01, Dark Lover (Black Dagger Brotherhood  #1) - 68.15, Devil in Winter (Wallflowers  #3) - 61.27, Tempt Me at Twilight (The Hathaways  #3) - 62.74, Secrets of a Summer Night (Wallflowers  #1) - 62.74, The Viscount Who Loved Me (Bridgertons  #2) - 53.45, The Madness of Lord Ian Mackenzie (Mackenzies & McBrides  #1) - 58.62, Bet Me - 58.62 
Lord of the Fading Lands (Tairen Soul  #1)	,  The Hunger Games (The Hunger Games  #1) - 68.94, Angels' Blood (Guild Hunter  #1) - 59.96, Magic Bites (Kate Daniels  #1) - 51.18, Darkfever (Fever  #1) - 47.13, Dark Lover (Black Dagger Brotherhood  #1) - 51.14, Outlander (Outlander  #1) - 49.83, City of Bones (The Mortal Instruments  #1) - 42.00, Soulless (Parasol Protectorate  #1) - 40.09, Catching Fire (The Hunger Games  #2) - 41.50, Magic Bleeds (Kate Daniels  #4) - 36.76 
Lord of the Flies	,  The Hunger Games (The Hunger Games  #1) - 62.93, The Book Thief - 50.89, The Catcher in the Rye - 53.10, To Kill a Mockingbird - 51.45, The Great Gatsby - 48.58, 1984 - 51.36, Catching Fire (The Hunger Games  #2) - 46.58, Animal Farm - 46.70, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 40.81, The Giver (The Giver  #1) - 36.41 
Lost Light (Harry Bosch  #9; Harry Bosch Universe  #11)	,  The Brass Verdict (Harry Bosch  #14; Mickey Haller  #2; Harry Bosch Universe  #17) - 74.32, City of Bones (Harry Bosch  #8; Harry Bosch Universe  #10) - 77.46, Nine Dragons (Harry Bosch  #15; Mickey Haller  #3; Harry Bosch Universe  #20) - 72.85, A Darkness More Than Night (Harry Bosch  #7; Terry McCaleb  #2; Harry Bosch Universe  #9) - 67.00, The Closers (Harry Bosch  #11; Harry Bosch Universe  #14) - 67.00, The Narrows (Harry Bosch  #10; Harry Bosch Universe  #13) - 62.82, The Black Ice (Harry Bosch  #2; Harry Bosch Universe  #2) - 60.90, The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1) - 55.41, Angels Flight (Harry Bosch  #6; Harry Bosch Universe  #7) - 49.04, The Overlook (Harry Bosch  #13; Harry Bosch Universe  #16) - 46.60 
Lost at Sea	,  Scott Pilgrim - Volume 2: Scott Pilgrim vs. The World - 65.38, Looking for Alaska - 64.42, Blankets - 52.27, Scott Pilgrim - Volume 1: Scott Pilgrim's Precious Little Life - 61.39, The Perks of Being a Wallflower - 53.27, Paper Towns - 45.00, The Hunger Games (The Hunger Games  #1) - 46.83, Harry Potter and the Chamber of Secrets (Harry Potter  #2) - 36.75, The Bad Beginning (A Series of Unfortunate Events  #1) - 35.25, The Book Thief - 32.28 
Lost in a Good Book (Thursday Next  #2)	,  The Eyre Affair (Thursday Next  #1) - 74.37, The Hunger Games (The Hunger Games  #1) - 39.02, The Well of Lost Plots (Thursday Next #3) - 33.39, Something Rotten (Thursday Next  #4) - 31.92, Catching Fire (The Hunger Games  #2) - 26.51, The Book Thief - 26.36, The Girl with the Dragon Tattoo (Millennium  #1) - 23.73, First Among Sequels (Thursday Next  #5) - 24.46, The Thirteenth Tale - 21.17, The Name of the Wind (The Kingkiller Chronicle  #1) - 19.63 
Love - Rosie	,  If I Stay (If I Stay  #1) - 76.03, The Perks of Being a Wallflower - 60.35, Paper Towns - 58.25, The Hunger Games (The Hunger Games  #1) - 54.11, Anna and the French Kiss (Anna and the French Kiss  #1) - 49.23, The Book Thief - 47.88, Catching Fire (The Hunger Games  #2) - 40.72, Thirteen Reasons Why - 43.64, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 43.25, Looking for Alaska - 40.54 
Love - Stargirl (Stargirl  #2)	,  Stargirl (Stargirl  #1) - 72.70, The Book Thief - 38.32, Catching Fire (The Hunger Games  #2) - 33.61, The Hunger Games (The Hunger Games  #1) - 33.51, The Giver (The Giver  #1) - 33.26, Twilight (Twilight  #1) - 27.66, The Lightning Thief (Percy Jackson and the Olympians  #1) - 25.74, If I Stay (If I Stay  #1) - 23.85, The Help - 20.56, Thirteen Reasons Why - 18.95 
Love Is a Mix Tape	,  The Hunger Games (The Hunger Games  #1) - 68.23, Catching Fire (The Hunger Games  #2) - 57.82, The Girl with the Dragon Tattoo (Millennium  #1) - 45.05, The Help - 37.53, The Book Thief - 42.51, The Immortal Life of Henrietta Lacks - 37.05, The Guernsey Literary and Potato Peel Pie Society - 36.62, The Perks of Being a Wallflower - 37.66, Never Let Me Go - 36.80, Water for Elephants - 28.07 
Love Is the Higher Law	,  Will Grayson - Will Grayson - 72.66, The Hunger Games (The Hunger Games  #1) - 72.66, Paper Towns - 70.66, If I Stay (If I Stay  #1) - 66.82, Looking for Alaska - 56.43, Catching Fire (The Hunger Games  #2) - 52.00, Thirteen Reasons Why - 47.07, When You Reach Me - 41.92, The Perks of Being a Wallflower - 38.10, Boy Meets Boy - 35.71 
Love Story (Love Story  #1)	,  To Kill a Mockingbird - 57.76, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 66.62, The Hunger Games (The Hunger Games  #1) - 61.72, Catching Fire (The Hunger Games  #2) - 60.10, Looking for Alaska - 47.27, The Great Gatsby - 53.67, The Kite Runner - 48.55, The Alchemist - 44.20, Twilight (Twilight  #1) - 39.58, The Help - 35.72 
Love That Dog (Jack  #1)	,  The Hunger Games (The Hunger Games  #1) - 80.91, The Graveyard Book - 61.82, Catching Fire (The Hunger Games  #2) - 60.94, The Book Thief - 50.30, Looking for Alaska - 50.06, When You Reach Me - 45.98, Twilight (Twilight  #1) - 45.20, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 43.25, The Absolutely True Diary of a Part-Time Indian - 39.77, The Giver (The Giver  #1) - 38.78 
Love Walked In	,  The Help - 65.17, Catching Fire (The Hunger Games  #2) - 51.81, The Book Thief - 53.33, The Girl with the Dragon Tattoo (Millennium  #1) - 47.21, The Guernsey Literary and Potato Peel Pie Society - 47.40, The Hunger Games (The Hunger Games  #1) - 44.87, Water for Elephants - 42.71, Twilight (Twilight  #1) - 39.37, Belong to Me - 48.83, The Time Traveler's Wife - 40.52 
Love You Forever	,  The Hunger Games (The Hunger Games  #1) - 77.54, Catching Fire (The Hunger Games  #2) - 68.63, Twilight (Twilight  #1) - 53.11, Breaking Dawn (Twilight  #4) - 50.39, The Book Thief - 50.00, The Giver (The Giver  #1) - 50.69, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 39.27, To Kill a Mockingbird - 44.50, The Giving Tree - 42.56, Charlotte's Web - 38.12 
Love in the Time of Cholera	,  The Book Thief - 55.42, The Hunger Games (The Hunger Games  #1) - 44.84, The Girl with the Dragon Tattoo (Millennium  #1) - 49.02, The Handmaid's Tale - 43.12, To Kill a Mockingbird - 44.25, The Kite Runner - 37.71, The Help - 35.31, Water for Elephants - 34.88, Life of Pi - 41.31, Twilight (Twilight  #1) - 31.40 
Love the One You're With	,  The Help - 53.16, The Hunger Games (The Hunger Games  #1) - 51.70, Something Borrowed (Darcy & Rachel  #1) - 47.14, Catching Fire (The Hunger Games  #2) - 40.38, Water for Elephants - 30.07, Something Blue (Darcy & Rachel  #2) - 31.96, Heart of the Matter - 32.32, Twilight (Twilight  #1) - 31.35, The Book Thief - 27.14, The Girl with the Dragon Tattoo (Millennium  #1) - 25.71 
Lover Avenged (Black Dagger Brotherhood  #7)	,  Lover Enshrined (Black Dagger Brotherhood  #6) - 83.58, Lover Mine (Black Dagger Brotherhood  #8) - 82.58, Lover Unbound (Black Dagger Brotherhood  #5) - 79.11, Lover Awakened (Black Dagger Brotherhood  #3) - 78.70, Dark Lover (Black Dagger Brotherhood  #1) - 75.51, Lover Revealed (Black Dagger Brotherhood  #4) - 69.77, Lover Eternal (Black Dagger Brotherhood  #2) - 69.21, The Hunger Games (The Hunger Games  #1) - 35.10, Covet (Fallen Angels  #1) - 27.21, Twilight (Twilight  #1) - 24.81 
Lover Awakened (Black Dagger Brotherhood  #3)	,  Dark Lover (Black Dagger Brotherhood  #1) - 89.53, Lover Eternal (Black Dagger Brotherhood  #2) - 86.23, Lover Revealed (Black Dagger Brotherhood  #4) - 72.95, Lover Unbound (Black Dagger Brotherhood  #5) - 70.04, Lover Enshrined (Black Dagger Brotherhood  #6) - 61.64, Lover Avenged (Black Dagger Brotherhood  #7) - 45.23, Lover Mine (Black Dagger Brotherhood  #8) - 44.51, The Hunger Games (The Hunger Games  #1) - 31.66, Darkfever (Fever  #1) - 25.73, Catching Fire (The Hunger Games  #2) - 23.70 
Lover Enshrined (Black Dagger Brotherhood  #6)	,  Lover Unbound (Black Dagger Brotherhood  #5) - 68.58, Lover Revealed (Black Dagger Brotherhood  #4) - 61.41, Lover Awakened (Black Dagger Brotherhood  #3) - 61.31, Dark Lover (Black Dagger Brotherhood  #1) - 59.20, Lover Eternal (Black Dagger Brotherhood  #2) - 60.78, Lover Avenged (Black Dagger Brotherhood  #7) - 53.15, Lover Mine (Black Dagger Brotherhood  #8) - 48.84, The Hunger Games (The Hunger Games  #1) - 26.04, City of Bones (The Mortal Instruments  #1) - 19.13, Covet (Fallen Angels  #1) - 20.99 
Lover Eternal (Black Dagger Brotherhood  #2)	,  Dark Lover (Black Dagger Brotherhood  #1) - 83.21, Lover Awakened (Black Dagger Brotherhood  #3) - 75.81, Lover Unbound (Black Dagger Brotherhood  #5) - 57.61, Lover Revealed (Black Dagger Brotherhood  #4) - 56.81, Lover Enshrined (Black Dagger Brotherhood  #6) - 44.35, Lover Mine (Black Dagger Brotherhood  #8) - 34.16, Lover Avenged (Black Dagger Brotherhood  #7) - 32.28, The Hunger Games (The Hunger Games  #1) - 25.70, Catching Fire (The Hunger Games  #2) - 19.28, City of Bones (The Mortal Instruments  #1) - 19.09 
Lover Mine (Black Dagger Brotherhood  #8)	,  Lover Enshrined (Black Dagger Brotherhood  #6) - 84.98, Lover Unbound (Black Dagger Brotherhood  #5) - 81.67, Lover Awakened (Black Dagger Brotherhood  #3) - 82.84, Lover Avenged (Black Dagger Brotherhood  #7) - 79.55, Dark Lover (Black Dagger Brotherhood  #1) - 79.15, Lover Revealed (Black Dagger Brotherhood  #4) - 74.96, Lover Eternal (Black Dagger Brotherhood  #2) - 70.73, The Hunger Games (The Hunger Games  #1) - 41.51, Covet (Fallen Angels  #1) - 37.05, Catching Fire (The Hunger Games  #2) - 33.30 
Lover Revealed (Black Dagger Brotherhood  #4)	,  Lover Awakened (Black Dagger Brotherhood  #3) - 79.97, Lover Unbound (Black Dagger Brotherhood  #5) - 76.11, Dark Lover (Black Dagger Brotherhood  #1) - 73.85, Lover Eternal (Black Dagger Brotherhood  #2) - 70.58, Lover Enshrined (Black Dagger Brotherhood  #6) - 58.42, Lover Avenged (Black Dagger Brotherhood  #7) - 45.42, Lover Mine (Black Dagger Brotherhood  #8) - 43.24, The Hunger Games (The Hunger Games  #1) - 27.43, Halfway to the Grave (Night Huntress  #1) - 23.67, Catching Fire (The Hunger Games  #2) - 19.68 
Lover Unbound (Black Dagger Brotherhood  #5)	,  Lover Awakened (Black Dagger Brotherhood  #3) - 79.93, Dark Lover (Black Dagger Brotherhood  #1) - 72.06, Lover Revealed (Black Dagger Brotherhood  #4) - 70.98, Lover Enshrined (Black Dagger Brotherhood  #6) - 68.68, Lover Eternal (Black Dagger Brotherhood  #2) - 66.68, Lover Avenged (Black Dagger Brotherhood  #7) - 51.41, Lover Mine (Black Dagger Brotherhood  #8) - 49.19, The Hunger Games (The Hunger Games  #1) - 28.37, Darkfever (Fever  #1) - 22.21, Twilight (Twilight  #1) - 19.86 
Loving Frank	,  The Help - 67.94, The Guernsey Literary and Potato Peel Pie Society - 59.72, The Book Thief - 52.84, The Hunger Games (The Hunger Games  #1) - 48.76, Water for Elephants - 51.05, The Girl with the Dragon Tattoo (Millennium  #1) - 43.29, Sarah's Key - 45.54, Catching Fire (The Hunger Games  #2) - 38.35, Cutting for Stone - 40.27, Olive Kitteridge - 31.69 
Lucifer's Hammer	,  The Road - 60.48, The Hunger Games (The Hunger Games  #1) - 56.25, A Game of Thrones (A Song of Ice and Fire  #1) - 43.13, American Gods (American Gods  #1) - 36.31, The Name of the Wind (The Kingkiller Chronicle  #1) - 24.21, A Canticle for Leibowitz - 26.25, 1984 - 22.36, The Girl with the Dragon Tattoo (Millennium  #1) - 16.32, Catching Fire (The Hunger Games  #2) - 18.36, The Stand - 15.00 
Luck in the Shadows (Nightrunner  #1)	,  The Name of the Wind (The Kingkiller Chronicle  #1) - 78.26, The Hunger Games (The Hunger Games  #1) - 65.62, Catching Fire (The Hunger Games  #2) - 56.55, City of Bones (The Mortal Instruments  #1) - 12.50, The Lies of Locke Lamora (Gentleman Bastard  #1) - 12.18, The Hero of Ages (Mistborn  #3) - 12.18, Storm Front (The Dresden Files  #1) - 6.77, Twilight (Twilight  #1) - 6.08, The Final Empire (Mistborn  #1) - 4.86, Soulless (Parasol Protectorate  #1) - 0.00 
Lucky	,  The Hunger Games (The Hunger Games  #1) - 75.00, The Glass Castle - 62.75, The Help - 59.37, The Book Thief - 65.92, Twilight (Twilight  #1) - 53.73, Catching Fire (The Hunger Games  #2) - 50.43, Water for Elephants - 43.03, Eat - Pray - Love - 44.51, The Girl with the Dragon Tattoo (Millennium  #1) - 39.24, The Curious Incident of the Dog in the Night-Time - 34.81 
Lucky Jim	,  The Girl with the Dragon Tattoo (Millennium  #1) - 60.71, The Book Thief - 26.56, The Handmaid's Tale - 19.82, The Great Gatsby - 17.14, Cloud Atlas - 13.08, The Hunger Games (The Hunger Games  #1) - 11.92, Atonement - 11.54, The Girl Who Played with Fire (Millennium  #2) - 6.88, A Game of Thrones (A Song of Ice and Fire  #1) - 6.25, The Guernsey Literary and Potato Peel Pie Society - 6.04 
Lullabies for Little Criminals	,  The Book Thief - 77.38, The Hunger Games (The Hunger Games  #1) - 56.84, The Curious Incident of the Dog in the Night-Time - 44.12, The Help - 32.03, The Time Traveler's Wife - 21.43, The Perks of Being a Wallflower - 19.82, Water for Elephants - 8.33, The Road - 7.92, The Alchemist - 7.29, Someone Knows My Name - 6.88 
Lullaby	,  The Hunger Games (The Hunger Games  #1) - 63.89, Choke - 59.72, Fight Club - 47.17, American Gods (American Gods  #1) - 36.35, Haunted - 41.44, The Road - 29.74, The Perks of Being a Wallflower - 27.50, Water for Elephants - 27.50, Twilight (Twilight  #1) - 26.50, Catching Fire (The Hunger Games  #2) - 25.00 
Luna	,  Twilight (Twilight  #1) - 70.83, The Hunger Games (The Hunger Games  #1) - 66.67, Thirteen Reasons Why - 63.21, Catching Fire (The Hunger Games  #2) - 61.54, The Perks of Being a Wallflower - 38.14, Paper Towns - 36.65, The Absolutely True Diary of a Part-Time Indian - 30.54, Wintergirls - 27.15, An Abundance of Katherines - 23.59, If I Stay (If I Stay  #1) - 22.56 
Lunch in Paris: A Love Story - with Recipes	,  The Hunger Games (The Hunger Games  #1) - 65.32, The Help - 54.62, Catching Fire (The Hunger Games  #2) - 31.55, The Book Thief - 29.25, Eat - Pray - Love - 28.12, The Guernsey Literary and Potato Peel Pie Society - 20.42, The Time Traveler's Wife - 19.41, The Elegance of the Hedgehog - 18.09, Bel Canto - 13.00, The Immortal Life of Henrietta Lacks - 9.91 
Lush Life	,  The Girl with the Dragon Tattoo (Millennium  #1) - 67.86, The Girl Who Played with Fire (Millennium  #2) - 46.29, The Brief Wondrous Life of Oscar Wao - 42.59, The Hunger Games (The Hunger Games  #1) - 37.33, The Book Thief - 34.98, The Help - 29.69, The Road - 29.76, The Girl Who Kicked the Hornet's Nest (Millennium  #3) - 27.19, Olive Kitteridge - 25.31, Catching Fire (The Hunger Games  #2) - 22.37 
M Is for Magic	,  The Graveyard Book - 71.25, The Hunger Games (The Hunger Games  #1) - 65.54, Neverwhere - 46.41, Catching Fire (The Hunger Games  #2) - 45.32, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter - Witch - 42.27, American Gods (American Gods  #1) - 45.01, The Book Thief - 37.30, Paper Towns - 35.72, The Magicians (The Magicians #1) - 35.24, The Lightning Thief (Percy Jackson and the Olympians  #1) - 28.48 
Macbeth	,  Romeo and Juliet - 75.45, Hamlet - 71.11, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 60.29, To Kill a Mockingbird - 62.20, Pride and Prejudice - 56.69, The Great Gatsby - 53.76, Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) - 48.71, The Hunger Games (The Hunger Games  #1) - 52.07, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 48.21, Twilight (Twilight  #1) - 47.36 
Madame Bovary	,  The Great Gatsby - 65.20, The Book Thief - 59.85, The Hunger Games (The Hunger Games  #1) - 48.46, The Handmaid's Tale - 48.28, The Help - 43.75, Pride and Prejudice - 49.71, To Kill a Mockingbird - 42.61, Catching Fire (The Hunger Games  #2) - 33.65, The Road - 42.77, 1984 - 41.51 
Made to Stick: Why Some Ideas Survive and Others Die	,  Outliers: The Story of Success - 82.89, The Hunger Games (The Hunger Games  #1) - 49.81, The Girl with the Dragon Tattoo (Millennium  #1) - 47.85, Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics  #1) - 38.34, The Great Gatsby - 36.66, Blink: The Power of Thinking Without Thinking - 28.80, The Tipping Point: How Little Things Can Make a Big Difference - 28.80, The Alchemist - 27.45, The Book Thief - 20.19, Drive: The Surprising Truth About What Motivates Us - 18.75 
Madeline	,  The Hunger Games (The Hunger Games  #1) - 81.03, Where the Wild Things Are - 74.20, Catching Fire (The Hunger Games  #2) - 71.67, The Graveyard Book - 68.11, Green Eggs and Ham - 63.78, Charlotte's Web - 52.09, Goodnight Moon - 47.22, The Cat in the Hat - 43.12, The Book Thief - 41.88, The Great Gatsby - 36.25 
Magic Bites (Kate Daniels  #1)	,  Magic Burns (Kate Daniels  #2) - 75.25, Magic Strikes (Kate Daniels  #3) - 63.75, Magic Bleeds (Kate Daniels  #4) - 59.77, The Hunger Games (The Hunger Games  #1) - 34.87, Moon Called (Mercy Thompson  #1) - 36.74, Darkfever (Fever  #1) - 32.77, Halfway to the Grave (Night Huntress  #1) - 30.06, On the Edge (The Edge  #1) - 31.30, Soulless (Parasol Protectorate  #1) - 27.03, Dark Lover (Black Dagger Brotherhood  #1) - 27.41 
Magic Bleeds (Kate Daniels  #4)	,  Magic Strikes (Kate Daniels  #3) - 89.70, Magic Bites (Kate Daniels  #1) - 85.21, Magic Burns (Kate Daniels  #2) - 83.34, On the Edge (The Edge  #1) - 39.45, Moon Called (Mercy Thompson  #1) - 36.79, Darkfever (Fever  #1) - 35.08, The Hunger Games (The Hunger Games  #1) - 33.10, Bayou Moon (The Edge  #2) - 31.63, Silver Borne (Mercy Thompson  #5) - 31.59, Blood Bound (Mercy Thompson  #2) - 30.62 
Magic Burns (Kate Daniels  #2)	,  Magic Bites (Kate Daniels  #1) - 81.92, Magic Strikes (Kate Daniels  #3) - 78.55, Magic Bleeds (Kate Daniels  #4) - 65.33, Moon Called (Mercy Thompson  #1) - 30.14, The Hunger Games (The Hunger Games  #1) - 30.06, Darkfever (Fever  #1) - 29.53, Halfway to the Grave (Night Huntress  #1) - 26.65, Iron Kissed (Mercy Thompson  #3) - 25.77, City of Bones (The Mortal Instruments  #1) - 23.98, On the Edge (The Edge  #1) - 24.36 
Magic Hour	,  Firefly Lane (Firefly Lane  #1) - 73.72, The Help - 63.06, Sarah's Key - 52.59, The Book Thief - 48.63, The Hunger Games (The Hunger Games  #1) - 45.54, Catching Fire (The Hunger Games  #2) - 43.39, Winter Garden - 37.24, Water for Elephants - 36.76, The Guernsey Literary and Potato Peel Pie Society - 33.86, The Girl with the Dragon Tattoo (Millennium  #1) - 27.68 
Magic Kingdom For Sale/Sold (Magic Kingdom of Landover  #1)	,  Twilight (Twilight  #1) - 75.00, Catching Fire (The Hunger Games  #2) - 73.86, The Hunger Games (The Hunger Games  #1) - 64.94, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 61.69, The Girl with the Dragon Tattoo (Millennium  #1) - 45.07, The Help - 43.31, The Graveyard Book - 37.64, The Book Thief - 35.51, Ender's Game (Ender's Saga  #1) - 25.45, A Game of Thrones (A Song of Ice and Fire  #1) - 22.43 
Magic Lost - Trouble Found (Raine Benares #1)	,  Soulless (Parasol Protectorate  #1) - 55.21, Magic Bleeds (Kate Daniels  #4) - 52.17, Halfway to the Grave (Night Huntress  #1) - 45.19, Magic Bites (Kate Daniels  #1) - 43.27, Grimspace (Sirantha Jax  #1) - 38.08, Magic to the Bone (Allie Beckstrom  #1) - 32.88, Darkfever (Fever  #1) - 35.62, Rosemary and Rue (October Daye  #1) - 33.20, Moon Called (Mercy Thompson  #1) - 34.40, Magic Burns (Kate Daniels  #2) - 32.16 
Magic Strikes (Kate Daniels  #3)	,  Magic Bites (Kate Daniels  #1) - 88.64, Magic Burns (Kate Daniels  #2) - 83.43, Magic Bleeds (Kate Daniels  #4) - 84.28, Moon Called (Mercy Thompson  #1) - 34.68, On the Edge (The Edge  #1) - 33.55, Darkfever (Fever  #1) - 31.55, Iron Kissed (Mercy Thompson  #3) - 30.60, Halfway to the Grave (Night Huntress  #1) - 30.83, City of Bones (The Mortal Instruments  #1) - 30.01, The Hunger Games (The Hunger Games  #1) - 29.52 
